file,rows,det,empty,conf_mean,conf_p50,conf_p90,conf_max,path,detections,empty_rows,mean_conf,median_conf,q90_conf,max_conf
submissions/sub19_zaoui_public_scale11225_keep020.csv,2000,1276,1053,0.3832836010971787,0.349333,0.5702689999999999,0.983435,,,,,,,
submissions/sub19_zaoui_public_scale113_keep020.csv,2000,1276,1053,0.3858444788401254,0.3516675,0.5740795,0.990005,,,,,,,
submissions/sub20_zaoui_public_scale1125_keep020.csv,2000,1276,1053,0.3841372249216301,0.3501115,0.5715395,0.985625,,,,,,,
submissions/sub20_zaoui_public_scale114_keep020.csv,2000,1276,1053,0.3892590415360502,0.3547795,0.57916,0.998767,,,,,,,
submissions/sub21_zaoui_public_scale1125_keep020.csv,2000,1276,1053,0.3841372249216301,0.3501115,0.5715395,0.985625,,,,,,,
submissions/sub21_zaoui_public_scale113_drop025.csv,2000,1130,1136,0.4050229044247788,0.371132,0.5894975,0.990005,,,,,,,
submissions/sub21_zaoui_public_scale115_clip100_keep020.csv,2000,1276,1053,0.39266767398119123,0.357892,0.58424,1.0,,,,,,,
submissions/sub22_zaoui_public_scale1135_keep020.csv,2000,1276,1053,0.3875517946708464,0.3532235,0.5766199999999999,0.994386,,,,,,,
submissions/sub22_zaoui_public_scale113_keep020.csv,2000,1276,1053,0.3858444788401254,0.3516675,0.5740795,0.990005,,,,,,,
submissions/sub22_zaoui_public_scale116_clip100_keep020.csv,2000,1276,1053,0.3960753902821317,0.36100350000000003,0.5893204999999999,1.0,,,,,,,
submissions/sub23_zaoui_public_scale1135_keep020.csv,2000,1276,1053,0.3875517946708464,0.3532235,0.5766199999999999,0.994386,,,,,,,
submissions/sub24_zaoui_public_scale113_drop030.csv,2000,871,1299,0.44393165442020666,0.406304,0.624733,0.990005,,,,,,,
submissions/sub25_zaoui_public_scale114_keep020.csv,2000,1276,1053,0.3892590415360502,0.3547795,0.57916,0.998767,,,,,,,
submissions/sub26_zaoui_public_scale1145_clip100_keep020.csv,2000,1276,1053,0.3909638330721003,0.3563355,0.5817005,1.0,,,,,,,
submissions/sub27_zaoui_public_scale115_clip100_keep020.csv,2000,1276,1053,0.3926677061128527,0.35789150000000003,0.5842404999999999,1.0,,,,,,,
submissions/sub28_zaoui_public_scale1155_clip100_keep020.csv,2000,1276,1053,0.39437154780564265,0.35944750000000003,0.586781,1.0,,,,,,,
submissions/sub29_zaoui_public_scale116_clip100_keep020.csv,2000,1276,1053,0.3960753855799373,0.361004,0.5893204999999999,1.0,,,,,,,
submissions/sub25_zaoui_public_scale1141_keep020.csv,2000,1276,1053,0.38960049294670845,0.355091,0.5796680000000001,0.999643,,,,,,,
submissions/sub26_zaoui_public_scale114125_keep020.csv,2000,1276,1053,0.38968585893416924,0.3551685,0.5797950000000001,0.999862,,,,,,,
submissions/sub27_zaoui_public_scale11425_clip100_keep020.csv,2000,1276,1053,0.3901119294670847,0.35555749999999997,0.58043,1.0,,,,,,,
submissions/sub28_zaoui_public_scale1145_clip100_keep020.csv,2000,1276,1053,0.3909638330721003,0.3563355,0.5817005,1.0,,,,,,,
submissions/sub52_kalyan_yusaku_balanced_v4_pow050_thr012.csv,2000,631,1453,0.4226391061806657,0.398671,0.533053,0.732798,,,,,,,
submissions/sub53_kalyan_yusaku_balanced_v4_pow050_thr015.csv,2000,350,1675,0.4690786914285714,0.4454875,0.5855119000000001,0.732798,,,,,,,
submissions/sub84_jayhawk_prune_ewc_public24342.csv,2000,1417,977,0.34799627946365563,0.318491,0.5247706000000001,0.879052,,,,,,,
submissions/sub85_jayhawk_prune_ewc_unlearn20_scale030.csv,2000,1417,977,0.3457177741707833,0.31648,0.5223484000000004,0.879052,,,,,,,
